final_rank,final_signal,news_risk_level,news_risk_reason,news_event_date,news_source,risk_expire_date,is_blocked,stock_id,date,close,prediction_5d,prob_up_5d,prob_down_5d,ret_1,ret_5,ret_20,ma5_gap,ma20_gap,rsi_14,volume_ratio_5,volume_ratio_20,risk_score
1,WATCH,LOW,,,,,False,4744,2026-06-17,27.2,漲,0.555717,0.444283,0.0989898989898989,-0.27369826435247,-0.1928783382789318,-0.0525949146638802,-0.1923390988048399,34.20479302832244,0.2928382787012583,0.63709336713139,0
2,WATCH,LOW,,,,,False,4416,2026-06-17,9.33,漲,0.549783,0.450217,-0.0941747572815534,-0.1198113207547169,-0.1743362831858407,-0.0920591669910471,-0.1551973922491851,33.55704697986576,3.3652822151224706,3.069451189898009,0
3,WATCH,LOW,,,,,False,2385,2026-06-17,115.0,漲,0.540212,0.459788,-0.0128755364806867,-0.1726618705035971,-0.1050583657587548,-0.0916271721958925,-0.1467260248562418,35.08771929824562,0.7343364855690988,1.3328606666062572,0
4,WATCH,LOW,,,,,False,8444,2026-06-17,4.71,漲,0.538997,0.461003,-0.0328542094455852,-0.0523138832997988,-0.3073529411764706,-0.0146443514644349,-0.1114045844731628,35.40983606557377,0.5575539568345323,0.5358686257562663,0
5,WATCH,LOW,,,,,False,2740,2026-06-17,26.1,漲,0.532498,0.467502,0.01953125,-0.0711743772241992,-0.2878581173260572,-0.0425531914893616,-0.1754857052598325,26.61691542288557,0.6626506024096386,0.9016393442622952,0
6,WATCH,LOW,,,,,False,1435,2026-04-28,12.85,漲,0.519148,0.480852,-0.0950704225352112,-0.0982456140350876,-0.307277628032345,-0.078853046594982,-0.1804846938775511,19.205298013245027,4.247262282329005,5.0,0
7,WATCH,LOW,,,,,False,2485,2026-06-17,63.0,漲,0.512706,0.487294,0.0413223140495868,-0.0063091482649841,-0.1076487252124644,-0.0056818181818181,-0.0808287131601983,37.209302325581405,1.122428219356446,0.7322825724524964,0
8,WATCH,LOW,,,,,False,4991,2026-06-17,560.0,漲,0.506181,0.493819,-0.0459965928449744,0.0389610389610388,-0.1999999999999999,0.0090090090090089,-0.1709844559585492,31.738035264483628,0.8568817657809644,1.1378911209020983,0
9,WATCH,LOW,,,,,False,6643,2026-06-17,482.5,漲,0.500903,0.499097,-0.0020682523267838,0.0354077253218885,-0.1429840142095915,0.0113183818905888,-0.1103941000230468,29.19896640826873,0.6891729924091091,0.5051244509516838,0
10,WATCH,LOW,,,,,False,6103,2026-06-16,34.0,漲,0.500488,0.499512,-0.0684931506849315,-0.1370558375634517,-0.1414141414141414,-0.0649064906490648,-0.1048509181860067,33.548387096774206,1.25,1.25,0
